"Gene","logFC","adj.P.Val","P","SignedZ"
"mdtL",-0.508187724731835,0.257070194452408,0.257070194452408,-1.13334311038384
"ygeA",-0.189280441087608,0.258533548968991,0.258533548968991,-1.12986396769282
"ulaR",0.311662405231298,0.258613109857093,0.258613109857093,1.12967520254721
"ydcO",-0.272269472571475,0.25876859542852,0.25876859542852,-1.12930641562375
"yaaU",0.871965482511278,0.258949773288107,0.258949773288107,1.12887688436163
"yjhV",0.811674902541713,0.259090950190008,0.259090950190008,1.12854233054021
"acpT",0.208832189959009,0.259090950190008,0.259090950190008,1.12854233054021
"tamA",-0.191828831831529,0.259090950190008,0.259090950190008,-1.12854233054021
"csiE",0.51685247172152,0.259914618772398,0.259914618772398,1.12659295581226
"fliR",1.3142777898132,0.260854281980309,0.260854281980309,1.12437427182173
"inaA",-0.187793306528033,0.260854281980309,0.260854281980309,-1.12437427182173
"nhaB",-0.229605011774116,0.260961105847722,0.260961105847722,-1.12412239506966
"torC",0.703807852230687,0.261083933559434,0.261083933559434,1.12383287145406
"lptF",-0.188123238002197,0.261094017137873,0.261094017137873,-1.12380910710868
"fepG",0.961179403442879,0.261385140994182,0.261385140994182,1.12312327813293
"yihP",0.761426162790968,0.261385140994182,0.261385140994182,1.12312327813293
"yodD",0.553023179891166,0.261385140994182,0.261385140994182,1.12312327813293
"yffO",-0.395051950956382,0.261385140994182,0.261385140994182,-1.12312327813293
"yfjI",0.624183906110263,0.261404896059671,0.261404896059671,1.12307675832881
"mutS",-0.147228143714721,0.261624796084117,0.261624796084117,-1.12255909535185
"ygjK",0.647754346367287,0.261978539800139,0.261978539800139,1.1217269837816
"narU",-0.410358646747766,0.263901543209499,0.263901543209499,-1.11721702433529
"yphB",0.268801773652151,0.26415373900594,0.26415373900594,1.11662724136025
"ydeQ",-0.526628824280319,0.264913748489286,0.264913748489286,-1.11485223406315
"sspA",0.145010898906484,0.26509684022624,0.26509684022624,1.11442514679049
"insF2",0.242462327016244,0.26516644670595,0.26516644670595,1.11426283318851
"ppk",0.132317576325757,0.26516644670595,0.26516644670595,1.11426283318851
"argF",-0.653234946051693,0.266385733811945,0.266385733811945,-1.11142435501635
"yciX",-0.360165617971967,0.266464356667377,0.266464356667377,-1.11124162964896
"ydjM",0.517560608322526,0.266581724659218,0.266581724659218,1.1109689267147
"entE",-0.946682986185954,0.26691794843957,0.26691794843957,-1.11018817229635
"yehB",0.744172429982551,0.266940408222786,0.266940408222786,1.11013604193127
"abgT",0.393189697890978,0.26697652539817,0.26697652539817,1.11005221835011
"htpG",-0.461275145439929,0.267528928205703,0.267528928205703,-1.10877112909997
"cmoB",-0.18535518447186,0.267807111750184,0.267807111750184,-1.10812667605723
"rtcA",0.354167168813892,0.267835033299453,0.267835033299453,1.10806201709911
"yiaU",0.227159231188129,0.268677492225422,0.268677492225422,1.10611327813913
"thrA",-0.745910918368401,0.269224435920567,0.269224435920567,-1.10485035757486
"ydcF",0.187700806415054,0.269888483116745,0.269888483116745,1.10331940369867
"tisB",0.667598899531127,0.270006541349931,0.270006541349931,1.10304749231544
"btuE",-0.34561119151691,0.270204917958984,0.270204917958984,-1.10259077544391
